lookback,nodes,train_loss,validation_loss
249,256,0.0090787997469306,0.0263550747185946
499,256,0.00879443157464266,0.0180344432592392
499,256,0.0104061616584659,0.0178961362689734
499,256,0.0101109407842159,0.0183176007121801
499,256,0.0102377999573946,0.0178177300840616
499,256,0.0104888575151563,0.0170772429555655
499,256,0.00897705554962158,0.0177737921476364
499,256,0.00924231298267841,0.0177395641803741
499,256,0.00899333972483873,0.0175512488931417
499,256,0.00923214852809906,0.0178203247487545
499,256,0.0100607825443149,0.0184569302946329
499,256,0.0095031326636672,0.0182223450392485
499,256,0.0105120884254575,0.0180431995540857
499,256,0.0102148307487369,0.0180860627442598
499,256,0.0096501661464572,0.0175018683075905
499,256,0.00949958804994822,0.0179895274341106
499,256,0.00811435747891665,0.0176666397601366
499,256,0.00833448953926563,0.0179752372205257
499,256,0.00957638677209616,0.0176652446389198
499,256,0.00873608980327845,0.0174716785550117
499,256,0.00973555445671082,0.0179920122027397
749,256,0.0118273766711354,0.0153755061328411
749,256,0.0109720109030604,0.0150588285177946
749,256,0.00959968660026789,0.0141142271459103
749,256,0.0096691707149148,0.0144807947799563
749,256,0.0103853810578585,0.0147813493385911
749,256,0.00988175999373198,0.0144408047199249
749,256,0.013839952647686,0.0158968679606915
749,256,0.00824893638491631,0.0140997935086489
749,256,0.0109573490917683,0.0148977236822248
749,256,0.00959790498018265,0.0143974339589477
749,256,0.010623567737639,0.0148824108764529
749,256,0.00878188200294971,0.0139965433627367
749,256,0.00861538574099541,0.0142174316570163
749,256,0.0112093724310398,0.0148054361343384
749,256,0.010797306895256,0.0145861255005002
749,256,0.00794658064842224,0.0142955053597689
749,256,0.0106813488528132,0.0147502589970827
749,256,0.00810828618705273,0.0135953854769468
749,256,0.00786634348332882,0.0135104209184647
249,512,0.0109489811584353,0.0238591637462378
499,512,0.0108601003885269,0.0169913116842508
499,512,0.0094196880236268,0.0169356390833855
499,512,0.0101339286193252,0.017142815515399
499,512,0.00998980831354856,0.0173118989914656
499,512,0.0118117732927203,0.0173851400613785
499,512,0.0103519326075912,0.0170545019209385
499,512,0.0106003042310476,0.0164697337895632
499,512,0.0105678103864193,0.0173896308988333
499,512,0.0097750024870038,0.017132518813014
499,512,0.00752483401447535,0.0164254792034626
499,512,0.00880203023552895,0.0162213277071714
499,512,0.00962333753705025,0.0166684482246637
499,512,0.00810524914413691,0.0163257196545601
499,512,0.00962859019637108,0.0169839467853308
499,512,0.00754072284325957,0.0161115042865276
499,512,0.0113428151234984,0.0173229314386845
499,512,0.00756181217730045,0.0162913929671049
499,512,0.0101663265377283,0.0165712796151638
499,512,0.00964988581836224,0.0173341128975153
499,512,0.00816364586353302,0.016475910320878
749,512,0.0149216754361987,0.0189057756215334
249,1024,0.0132194831967354,0.0267904214560986
499,1024,0.0127602517604828,0.0190273951739073
749,1024,0.0140701634809375,0.0205437801778316
