mean_256_499,mean_256_749,mean_512_499,sd_256_499,sd_256_749,sd_512_499
-2.55077446619456,0.0913469305768359,0.418723338885003,0.614335584034345,0.418836018972189,0.447716131385264
-0.201531515930451,-0.302702846684273,0.0579687646599892,0.497673294332811,0.563900987521043,0.514003130921094
0.0226786307284031,0.0759725573442305,0.195822887622684,0.395145626988608,0.522598678237582,0.419619221283966
-0.156772254049747,-0.345986015279199,0.275104743573876,0.578876356391214,0.485713697724752,0.563909430420701
-0.223872791645728,-0.445200599355257,0.0430220881161218,0.487529854222501,0.313392050371177,0.427367085052065
-0.25852761605855,-0.210512644031876,0.147226580192128,0.554694850103957,0.491131535147891,0.360148200687922
0.110295361954787,-0.406867047181495,-0.0135421705185783,0.50647263181256,0.471690608404332,0.672804857517984
-0.147627320953442,-0.28656213131237,-0.0929550449029421,0.407062223342203,0.447506343222998,0.520394567008568
-0.24780017156158,-0.126455228897883,-0.0898046893702637,0.56079409589436,0.482656184627116,0.545833077014748
-0.308086959966612,-0.339291371289739,0.18508596273124,0.323810719877194,0.38068951516087,0.368818296675685
